"Location","Total"
"Alabama","3.07"
"Alaska","2.23"
"Arizona","1.99"
"Arkansas","3.13"
"California","1.89"
"Colorado","1.92"
"Connecticut","2.06"
"Delaware","2.3"
"District of Columbia","5.01"
"Florida","2.48"
"Georgia","2.26"
"Hawaii","2.05"
"Idaho","1.85"
"Illinois","2.44"
"Indiana","2.64"
"Iowa","2.72"
"Kansas","3.17"
"Kentucky","3.1"
"Louisiana","3.19"
"Maine","2.53"
"Maryland","1.81"
"Massachusetts","2.29"
"Michigan","2.45"
"Minnesota","2.39"
"Mississippi","3.93"
"Missouri","2.89"
"Montana","3.2"
"Nebraska","3.4"
"Nevada","2.04"
"New Hampshire","2.05"
"New Jersey","2.36"
"New Mexico","1.74"
"New York","2.53"
"North Carolina","2.07"
"North Dakota","4.26"
"Ohio","2.68"
"Oklahoma","2.78"
"Oregon","1.66"
"Pennsylvania","2.68"
"Rhode Island","1.94"
"South Carolina","2.23"
"South Dakota","4.61"
"Tennessee","2.68"
"Texas","2.2"
"Utah","1.7"
"Vermont","2.03"
"Virginia","2.01"
"Washington","1.6"
"West Virginia","3.62"
"Wisconsin","1.95"
"Wyoming","3.25"


