Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-04-12 23:18:15,32.3182,-86.9023,3667,93,,,1.0,74.78812241430825,,437.0,,84000001.0,USA,,12.26494527,2020-04-12,62029.0,2.536133078811017
Alaska,US,2020-04-12 23:18:15,61.3707,-152.4044,272,8,66.0,198.0,2.0,37.18158144748443,,31.0,,84000002.0,USA,1344.711576,11.39705882,2020-04-12,8038.0,2.9411764705882355
American Samoa,US,,-14.271,-170.1322,0,0,,,60.0,0.0,,,,16.0,ASM,5.391707554,,2020-04-12,3.0,
Arizona,US,2020-04-12 23:18:15,33.7298,-111.4312,3542,115,,,4.0,48.662422237325615,,,,84000004.0,USA,578.5222863,,2020-04-12,52289.0,3.2467532467532467
Arkansas,US,2020-04-12 23:18:15,34.9697,-92.3731,1280,27,367.0,886.0,5.0,42.41494808807994,,130.0,,84000005.0,USA,761.7533537,10.15625,2020-04-12,19722.0,2.109375
California,US,2020-04-12 23:18:15,36.1162,-119.6816,22201,632,,,6.0,56.18767640585548,,5234.0,,84000006.0,USA,485.4238685,22.9611757,2020-04-12,190328.0,2.8422143146705103
Colorado,US,2020-04-12 23:18:15,39.0598,-105.3111,11819,808,,,8.0,126.88548320325847,,1376.0,,84000008.0,USA,615.3899908,18.8312577,2020-04-12,34873.0,3.9551115368824417
Connecticut,US,2020-04-12 23:18:15,41.5978,-72.7554,12035,554,,,9.0,337.5604825081403,,1654.0,,84000009.0,USA,1156.148159,13.74324886,2020-04-12,41220.0,4.603240548400499
Delaware,US,2020-04-12 23:18:15,39.3185,-75.5071,1625,49,191.0,1385.0,10.0,166.87821689855036,17870.0,190.0,,84000010.0,USA,1.8351469144474442e-07,11.69230769,2020-04-12,11103.0,3.015384615384616
Diamond Princess,US,2020-04-12 23:18:15,,,49,0,0.0,49.0,888.0,,,,,84088888.0,USA,,,2020-04-12,,0.0
District of Columbia,US,2020-04-12 23:18:15,38.8974,-77.0268,1875,50,493.0,1332.0,11.0,265.6751904713999,,,,84000011.0,USA,1507.618148,,2020-04-12,10640.0,2.6666666666666665
Florida,US,2020-04-12 23:18:15,27.7663,-81.6868,19895,461,,,12.0,92.6308018391323,,2772.0,,84000012.0,USA,1508.5201946555171,13.93314903,2020-04-12,323996.0,2.3171651168635337
Georgia,US,2020-04-12 23:18:15,33.0406,-83.6431,12452,433,,,13.0,117.27892917141946,,2505.0,,84000013.0,USA,537.0439828,20.11725024,2020-04-12,54453.0,3.4773530356569227
Grand Princess,US,2020-04-12 23:18:15,,,103,0,0.0,103.0,999.0,,,,,84099999.0,USA,,,2020-04-12,,0.0
Guam,US,2020-04-12 23:18:15,13.4443,144.7937,133,5,58.0,70.0,66.0,80.9844789897034,,13.0,,316.0,GUM,502.9562379,9.77443609,2020-04-12,826.0,3.7593984962406015
Hawaii,US,2020-04-12 23:18:15,21.0943,-157.4983,499,9,300.0,190.0,15.0,35.2432988292727,,44.0,,84000015.0,USA,1269.118355,8.817635271,2020-04-12,17968.0,1.8036072144288573
Idaho,US,2020-04-12 23:18:15,44.2405,-114.4788,1407,27,,,16.0,78.73244677725768,,131.0,,84000016.0,USA,888.4214004,9.310589908,2020-04-12,14308.0,1.9189765458422168
